epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,637.715,0.91039,0.80989,1.2683,0.70725,0.8017,0.84926,0.59825,1.09759,1.50553,1.24703,0.000456863,0.000456863,0.000456863
43,652.745,0.92333,0.82832,1.27729,0.73726,0.8354,0.88566,0.63898,1.04999,1.19401,1.24552,0.00044925,0.00044925,0.00044925
44,667.703,0.92684,0.82619,1.28165,0.72593,0.77456,0.85582,0.6132,1.1123,1.63179,1.27468,0.000441637,0.000441637,0.000441637
45,682.637,0.90351,0.8131,1.25756,0.78596,0.75921,0.85767,0.62148,1.15059,1.71818,1.28762,0.000434024,0.000434024,0.000434024
46,697.649,0.92303,0.81019,1.26839,0.70083,0.77208,0.84659,0.61417,1.06367,1.57689,1.23454,0.000426411,0.000426411,0.000426411
47,712.661,0.92348,0.80391,1.27456,0.72123,0.75278,0.85056,0.61441,1.08265,1.64818,1.24967,0.000418797,0.000418797,0.000418797
48,727.571,0.90567,0.80082,1.26007,0.75723,0.7769,0.85087,0.60518,1.12132,1.55217,1.2551,0.000411184,0.000411184,0.000411184
49,742.322,0.92209,0.80715,1.26737,0.76307,0.78498,0.87243,0.6531,1.04452,1.38878,1.21325,0.000403571,0.000403571,0.000403571
50,757.295,0.91135,0.80176,1.26861,0.76765,0.80478,0.84076,0.58856,1.13774,1.35576,1.26416,0.000395958,0.000395958,0.000395958
51,772.217,0.90323,0.78722,1.25697,0.73123,0.73993,0.81989,0.58636,1.18288,1.76372,1.28145,0.000388345,0.000388345,0.000388345
52,787.319,0.8885,0.7894,1.25046,0.74455,0.78243,0.86903,0.63326,1.05464,1.60658,1.22626,0.000380732,0.000380732,0.000380732
53,802.285,0.87081,0.76816,1.23163,0.76969,0.81882,0.87532,0.63258,1.10805,1.45941,1.24106,0.000373119,0.000373119,0.000373119
54,817.151,0.88076,0.77458,1.24261,0.74187,0.71984,0.81803,0.57908,1.13495,1.71966,1.26129,0.000365506,0.000365506,0.000365506
55,832.186,0.86938,0.75549,1.23136,0.7869,0.77299,0.86836,0.63255,1.11627,1.5708,1.26359,0.000357893,0.000357893,0.000357893
56,847.096,0.87777,0.75925,1.23917,0.79167,0.78819,0.86721,0.63359,1.107,1.40608,1.24207,0.00035028,0.00035028,0.00035028
57,861.979,0.88432,0.76729,1.24242,0.73092,0.80294,0.87636,0.64579,1.072,1.40969,1.21713,0.000342666,0.000342666,0.000342666
58,876.933,0.87025,0.7431,1.22682,0.72983,0.78566,0.86283,0.62436,1.02114,1.47943,1.2075,0.000335053,0.000335053,0.000335053
59,892.098,0.8578,0.75832,1.22938,0.70893,0.74418,0.83765,0.60205,1.16753,1.74322,1.30091,0.00032744,0.00032744,0.00032744
60,907.375,0.87858,0.76958,1.25027,0.70431,0.7987,0.86147,0.63337,1.08324,1.46078,1.21318,0.000319827,0.000319827,0.000319827
61,922.47,0.85409,0.74672,1.22153,0.77235,0.70204,0.84844,0.62227,1.13931,1.95127,1.29289,0.000312214,0.000312214,0.000312214
62,937.445,0.87253,0.75362,1.23041,0.75082,0.7769,0.88128,0.64622,1.00774,1.41879,1.21948,0.000304601,0.000304601,0.000304601
63,952.36,0.84855,0.73755,1.21797,0.7281,0.76623,0.85925,0.63212,1.0933,1.64181,1.25178,0.000296988,0.000296988,0.000296988
64,967.33,0.82646,0.731,1.2,0.7741,0.76162,0.85177,0.63728,1.04746,1.52852,1.24284,0.000289375,0.000289375,0.000289375
65,982.304,0.84129,0.72789,1.21462,0.77259,0.8106,0.87914,0.65998,1.01626,1.40714,1.19268,0.000281762,0.000281762,0.000281762
66,997.311,0.82807,0.72808,1.20411,0.76893,0.72744,0.85846,0.64568,1.02818,1.79691,1.23567,0.000274148,0.000274148,0.000274148
67,1012.3,0.82542,0.72071,1.20966,0.76906,0.77928,0.86755,0.63682,1.11483,1.59191,1.23804,0.000266535,0.000266535,0.000266535
68,1027.23,0.82818,0.71684,1.21016,0.74306,0.7707,0.8635,0.6336,1.08121,1.66017,1.241,0.000258922,0.000258922,0.000258922
69,1042.16,0.82412,0.72893,1.20674,0.79677,0.79868,0.88101,0.64363,1.05299,1.394,1.20718,0.000251309,0.000251309,0.000251309
70,1057.1,0.82679,0.71537,1.19791,0.77512,0.8129,0.87906,0.66269,0.9882,1.38454,1.18976,0.000243696,0.000243696,0.000243696
71,1072.13,0.82678,0.7246,1.20821,0.81109,0.76068,0.86389,0.64216,1.08147,1.58997,1.23663,0.000236083,0.000236083,0.000236083
72,1087.11,0.82364,0.71559,1.20416,0.75623,0.72924,0.84998,0.62222,1.12888,1.7421,1.2669,0.00022847,0.00022847,0.00022847
73,1102.06,0.81794,0.70442,1.19516,0.76333,0.75626,0.85638,0.63005,1.09137,1.70892,1.2336,0.000220857,0.000220857,0.000220857
74,1117.04,0.81543,0.71177,1.20593,0.78041,0.71033,0.83653,0.62445,1.07502,1.89225,1.26708,0.000213244,0.000213244,0.000213244
75,1132.1,0.7953,0.69065,1.18954,0.77826,0.76933,0.84609,0.62,1.10504,1.55391,1.24024,0.000205631,0.000205631,0.000205631
76,1147.01,0.81796,0.71166,1.2028,0.79827,0.77739,0.87294,0.64083,1.07836,1.56848,1.22889,0.000198018,0.000198018,0.000198018
77,1162.08,0.81428,0.69988,1.19283,0.74917,0.7692,0.86008,0.62586,1.12262,1.59963,1.25021,0.000190404,0.000190404,0.000190404
78,1176.97,0.80328,0.69926,1.18827,0.8031,0.77984,0.87129,0.64782,1.07042,1.54043,1.22379,0.000182791,0.000182791,0.000182791
79,1192.02,0.78354,0.66297,1.17479,0.80222,0.75751,0.87371,0.64876,1.08274,1.62259,1.22556,0.000175178,0.000175178,0.000175178
80,1206.98,0.79707,0.67659,1.18162,0.78253,0.76465,0.84948,0.6452,1.04354,1.65504,1.20613,0.000167565,0.000167565,0.000167565
81,1221.93,0.77683,0.66598,1.17785,0.74758,0.76866,0.86248,0.64195,1.03692,1.45306,1.20989,0.000159952,0.000159952,0.000159952
82,1237.04,0.79147,0.68089,1.17998,0.79598,0.76696,0.86559,0.63905,1.06076,1.57075,1.23585,0.000152339,0.000152339,0.000152339
83,1252.04,0.77332,0.66395,1.17359,0.80061,0.77948,0.87837,0.63747,1.08478,1.47171,1.21775,0.000144726,0.000144726,0.000144726
84,1267.03,0.77236,0.66736,1.17329,0.80459,0.76243,0.86625,0.64296,1.06675,1.6417,1.22573,0.000137113,0.000137113,0.000137113
85,1282.01,0.76991,0.67195,1.17018,0.78694,0.75218,0.86889,0.64366,1.06701,1.63044,1.22313,0.0001295,0.0001295,0.0001295
86,1296.99,0.77433,0.66629,1.17484,0.81052,0.76067,0.85856,0.63085,1.0815,1.65252,1.23399,0.000121887,0.000121887,0.000121887
87,1311.94,0.77517,0.67285,1.17224,0.77702,0.77753,0.876,0.64788,1.04971,1.53128,1.2122,0.000114273,0.000114273,0.000114273
88,1326.89,0.77732,0.66513,1.17164,0.78374,0.77958,0.87024,0.65072,1.05841,1.62356,1.22124,0.00010666,0.00010666,0.00010666
89,1341.84,0.76437,0.65205,1.15649,0.78929,0.77158,0.86868,0.64145,1.05462,1.60723,1.21681,9.90472e-05,9.90472e-05,9.90472e-05
90,1356.73,0.76907,0.66051,1.16674,0.77443,0.76229,0.85179,0.6395,1.04788,1.69831,1.2157,9.14341e-05,9.14341e-05,9.14341e-05
91,1394.15,0.63614,0.52975,1.09111,0.80201,0.78524,0.85462,0.6192,1.07437,1.53623,1.23235,8.3821e-05,8.3821e-05,8.3821e-05
92,1408.77,0.61599,0.47594,1.07785,0.77584,0.76854,0.85567,0.63398,1.04494,1.5505,1.21674,7.62079e-05,7.62079e-05,7.62079e-05
93,1423.37,0.61291,0.47094,1.0772,0.78491,0.76257,0.85104,0.62542,1.10135,1.67981,1.24352,6.85948e-05,6.85948e-05,6.85948e-05
94,1438.35,0.60215,0.45151,1.07375,0.80456,0.76294,0.86216,0.63177,1.07434,1.63612,1.23998,6.09817e-05,6.09817e-05,6.09817e-05
95,1453.06,0.60884,0.45725,1.06612,0.79689,0.74581,0.85909,0.63673,1.0635,1.73581,1.23877,5.33686e-05,5.33686e-05,5.33686e-05
96,1467.87,0.59712,0.45691,1.06932,0.80902,0.71935,0.84789,0.62755,1.08886,1.84812,1.24497,4.57555e-05,4.57555e-05,4.57555e-05
97,1482.91,0.5937,0.443,1.05011,0.80556,0.74032,0.85708,0.63812,1.07375,1.72058,1.23359,3.81424e-05,3.81424e-05,3.81424e-05
98,1497.74,0.58824,0.44725,1.0538,0.8127,0.72886,0.85798,0.6337,1.08572,1.82121,1.24142,3.05293e-05,3.05293e-05,3.05293e-05
99,1512.55,0.57658,0.43721,1.03946,0.80571,0.74689,0.85612,0.6358,1.05242,1.737,1.22268,2.29162e-05,2.29162e-05,2.29162e-05
100,1527.52,0.57899,0.43574,1.04526,0.80237,0.73878,0.85145,0.63012,1.08261,1.78842,1.23815,1.53031e-05,1.53031e-05,1.53031e-05
